"quantity","value"
"outcomes in the fit","5"
"correlation of log ratio with log HR","r = 0.282 (p = 0.6460)"
"slope","0.48 (SE 0.94)"
"predicted detection-only HR at baseline balance","1.51 (0.07 to 30.83)"
"observed seizure HR","2.28 (1.62 to 3.22)"
