"quantity","value"
"negative controls in the fit","11"
"correlation, log baseline ratio with log HR","r = 0.663 (p = 0.0263)"
"slope","0.84 (SE 0.31)"
"predicted detection-only HR at baseline balance","1.04 (0.37 to 2.90)"
"observed seizure HR, unadjusted","2.28"
"observed seizure HR, contact-adjusted","2.57"
"median change in negative-control HR on adjustment","-28.7%"
"change in seizure HR on adjustment","+12.6%"
