"term","estimate","p"
"iih","4.01 (2.46 to 6.55)","<0.001"
"age_index","0.98 (0.97 to 1.00)","0.085"
"bmi_index","0.99 (0.96 to 1.02)","0.437"
"sexM","1.20 (0.70 to 2.05)","0.501"
"osa","1.38 (0.85 to 2.23)","0.194"
"htn","1.30 (0.77 to 2.21)","0.328"
"pcos","0.75 (0.36 to 1.56)","0.443"
"log_enc_pre","0.90 (0.75 to 1.07)","0.235"
"smoking_finalFormer","0.82 (0.39 to 1.75)","0.613"
"smoking_finalCurrent","0.96 (0.38 to 2.41)","0.931"
"smoking_finalUnknown","1.13 (0.69 to 1.85)","0.627"
