"cohort","n","median_y","q1","q3","pct_within_1y","pct_within_3y","wilcoxon_p"
"Non-IIH control",64,1.68,1.14,2.51,21.9,79.7,0.0515
"IIH",102,2.46,0.93,5.03,27.5,54.9,NA
