"approach","n","ev","estimate","note"
"Complete case",12192,111,"4.09 (2.60 to 6.43)","Drops 12 of 12204 rows."
"Missing indicator",12204,112,"4.13 (2.63 to 6.49)","Biased in general; acceptable here only because missingness is an extract property."
"Multiple imputation (m=10, PMM)",12204,112,"4.14 (2.64 to 6.51)","Imputation model includes the Nelson-Aalen hazard and event indicator so it is congenial with the outcome model."
