"cohort","iih_events","ctl_events","iih_rate","ctl_rate","HR","p","ph_p","cif3_iih","cif3_ctl","risk_diff_pp","NNH"
"Engagement-restricted","59/2606","48/4017","9.38 (7.14 to 12.10)","5.78 (4.26 to 7.66)","1.74 (1.18 to 2.55)",0.00472,0.639,2.54,1.45,1.09,92
"Full cohort","60/2618","207/9087","9.49 (7.25 to 12.22)","10.12 (8.79 to 11.60)","0.96 (0.72 to 1.28)",0.773,0.0103,2.58,2.79,-0.21,-486
