"cohort","seizure","negative_control","calibrated"
"FULL","3.66 (2.55 to 5.25)","2.60 (1.73 to 3.91)","1.41 (0.82 to 2.42)"
"ENGAGED","5.58 (3.15 to 9.87)","2.66 (1.58 to 4.47)","2.10 (0.97 to 4.54)"
