"analysis","iih","comparator","estimate","p"
"All engaged patients (headline)","57/2598","48/4017","1.68 (1.14 to 2.46)",0.00866
"Sets with at least one engaged control only","43/2086","48/4017","1.60 (1.06 to 2.43)",0.025
