"model","horizon_y","n","events","hr","lo","hi","p","note","estimate"
"Cox, 3-y truncated (PRIMARY)",3,12474,126,2.75,1.94,3.9,1.14e-08,"robust SE clustered on match_set","2.75 (1.94 to 3.90)"
"Cox stratified by matched set, 3 y",3,12473,126,3.11,2.15,4.48,1.28e-09,"conditional; sets with no event contribute nothing","3.11 (2.15 to 4.48)"
"Cox, 5-y truncated",5,12474,156,3.12,2.28,4.25,7.38e-13,"","3.12 (2.28 to 4.25)"
"Cox, full follow-up",Inf,12474,185,3.59,2.7,4.77,1.74e-18,"PH violated; denominator includes impossible dates -- least reliable","3.59 (2.70 to 4.77)"
"Cox, 3 y, + age/BMI/sex",3,12474,126,2.75,1.94,3.91,1.5e-08,"matched covariates re-adjusted; tests residual imbalance only","2.75 (1.94 to 3.91)"
"Cox, 3 y, IPTW (stabilised, trimmed)",3,12474,126,2.77,1.96,3.93,8.94e-09,"marginal estimand over the matched population","2.77 (1.96 to 3.93)"
