"quantity","value"
"Propensity model c-statistic","0.72"
"Propensity overlap, IIH range","0.069 to 0.862"
"Propensity overlap, comparator range","0.063 to 0.855"
"SMD age, unweighted -> overlap-weighted","-0.065 -> -0.000"
"SMD BMI, unweighted -> overlap-weighted","0.050 -> 0.000"
"SMD pre-index visits, unweighted -> overlap-weighted","0.526 -> -0.073"
"Overlap-weighted hazard ratio","2.31 (1.56 to 3.43)"
