"arm","primary_no_code_none","primary_no_code_sz","primary_no_code_epi","primary_yes_code_none","primary_yes_code_sz","primary_yes_code_epi"
"IIH",2512,0,0,40,45,13
"Control",8873,124,28,7,4,51
