"encounter_type","case_rows","comparator_rows","classified_as"
"External E-Consult",10,21,"clinical visit (counted)"
"Contact Moved",0,29,"clinical visit (counted)"
"E-Consult Community Order",9,19,"clinical visit (counted)"
"Preadmit-Clinic",26,0,"clinical visit (counted)"
"Post Mortem Documentation",4,15,"clinical visit (counted)"
"Recurring PM&R",19,0,"clinical visit (counted)"
"OSC SLH",1,17,"clinical visit (counted)"
"MCJ Lab OSM",0,16,"clinical visit (counted)"
"Extended Stay",2,13,"clinical visit (counted)"
"Recurring Apheresis",0,15,"clinical visit (counted)"
"E-Review",3,10,"clinical visit (counted)"
"Suspected Abuse",7,6,"clinical visit (counted)"
"Dialysis",12,0,"clinical visit (counted)"
"OP Surgery",1,10,"clinical visit (counted)"
"Oncology Related Results",1,10,"clinical visit (counted)"
"Outpt Surgery",1,10,"clinical visit (counted)"
"Tumor Board Conference",3,8,"clinical visit (counted)"
"Newborn",1,8,"clinical visit (counted)"
"Treatment",8,0,"clinical visit (counted)"
"EMPTY",4,3,"clinical visit (counted)"
"Hospice F2F Visit",7,0,"clinical visit (counted)"
"Travel",6,1,"clinical visit (counted)"
"Home Health Admission",5,0,"clinical visit (counted)"
"Patient Web Update",3,2,"clinical visit (counted)"
"Cell Therapy Selection Review",0,4,"clinical visit (counted)"
"E-Tumor Board",2,2,"clinical visit (counted)"
"Hospice Admission",4,0,"clinical visit (counted)"
"Report of Death",3,1,"clinical visit (counted)"
"Clinic Recurring Outpatient",3,0,"clinical visit (counted)"
"Hospice Inpatient",0,3,"clinical visit (counted)"
"Mother Baby Link",3,0,"clinical visit (counted)"
"Nonpatient",3,0,"clinical visit (counted)"
"Client Pre Reg",2,0,"clinical visit (counted)"
"Recurring Rad Onc",2,0,"clinical visit (counted)"
"Referred Client Recurring",2,0,"clinical visit (counted)"
"Swing Bed",2,0,"clinical visit (counted)"
"Ambulance",1,0,"clinical visit (counted)"
"Consult",1,0,"clinical visit (counted)"
"ED Telemedicine",1,0,"clinical visit (counted)"
"EOA",1,0,"clinical visit (counted)"
"Image Capture",0,1,"clinical visit (counted)"
"MCJ Derm Path",0,1,"clinical visit (counted)"
"OSC SLH Observation",0,1,"clinical visit (counted)"
"Outpatient Message",1,0,"clinical visit (counted)"
"VEA",0,1,"clinical visit (counted)"
"",0,0,"clinical visit (counted)"
