"estimand","estimate"
"Cause-specific HR, seizure (primary)","2.28 (1.62 to 3.22)"
"Subdistribution HR, seizure (Fine-Gray)","2.28 (1.62 to 3.22)"
"Cause-specific HR, death (competing event)","0.61 (0.29 to 1.29)"
