"code","description","ctl_rows","iih_rows","ctl_pts","iih_pts","ctl_only","iih_only","currently"
"G40.319","Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus (HCC)",4,0,2,0,0,0,"COUNTED"
"G40.89","OTHER SEIZURES",3,0,2,0,1,0,"COUNTED"
"G40.89","Seizure Absence (HCC)",3,2,1,1,0,0,"COUNTED"
"G40.919","EPILEPSY, UNSP, INTRACTABLE, WITHOUT STATUS EPILEPTICUS",4,0,2,0,0,0,"COUNTED"
"R56.1","Seizure Post Traumatic Non Epileptic (HCC)",3,0,2,0,0,0,"excluded"
"Z82.0","Family History Alzheimer's Disease",5,0,2,0,0,0,"excluded"
"345.00","GENERALIZED NONCONVULSIVE EPILEPSY, WITHOUT MENTION OF INTRA",1,0,1,0,0,0,"COUNTED"
"345.80","OTHER FORMS OF EPILEPSY AND RECURRENT SEIZURES, WITHOUT MENT",0,4,0,1,0,0,"COUNTED"
"345.90","Epilepsy, unspecified, without mention of intractable epilepsy",0,1,0,1,0,0,"COUNTED"
"780.33","Post traumatic seizures",0,1,0,1,0,0,"excluded"
"E936.3","OTHER AND UNSPECIFIED ANTICONVULSANTS CAUSING ADVERSE EFFECT",0,1,0,1,0,0,"excluded"
"F44.5","Behavioral Spells",0,1,0,1,0,0,"excluded"
"G40","Epilepsy And Recurrent Seizures NOS",3,0,1,0,0,0,"COUNTED"
"G40.001","Localization Related Focal Partial Idiopathic Epilepsy And Epileptic Syndromes With Seizures Of Localized Onset Not Intractable With Status Epilepticus (HCC)",1,0,1,0,0,0,"COUNTED"
"G40.001","Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus (HCC)",2,0,1,0,0,0,"COUNTED"
"G40.009","Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus",0,1,0,1,0,0,"COUNTED"
"G40.011","Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus (HCC)",2,0,1,0,0,0,"COUNTED"
"G40.109","Focal Epilepsy Symptomatic Not Intractable Without Status Epilepticus (HCC)",0,3,0,1,0,0,"COUNTED"
"G40.111","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus (HCC)",2,0,1,0,0,0,"COUNTED"
"G40.119","Partial Seizure Motor Sensory Intractable (HCC)",3,0,1,0,0,0,"COUNTED"
"G40.219","LOCAL-REL SYMPTC EPI W CMPLX PART SEIZ, NTRCT, W/O STAT EPI",7,0,1,0,0,0,"COUNTED"
"G40.301","Idiopathic Generalized Epilepsy Not Intractable With Status Epilepticus (HCC)",0,1,0,1,0,0,"COUNTED"
"G40.309","Epilepsy Seizure Generalized Convulsive (HCC)",3,0,1,0,0,0,"COUNTED"
"G40.311","Idiopathic Generalized Epilepsy Intractable With Status Epilepticus (HCC)",5,0,1,0,0,0,"COUNTED"
"G40.319","Epilepsy Seizure General Convulsive Intractable (HCC)",2,0,1,0,0,0,"COUNTED"
"G40.319","Idiopathic Generalized Epilepsy Intractable Without Status Epilepticus (HCC)",3,0,1,0,0,0,"COUNTED"
"G40.401","Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus (HCC)",0,1,0,1,0,0,"COUNTED"
"G40.419","Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus (HCC)",1,0,1,0,0,0,"COUNTED"
"G40.802","Other epilepsy, not intractable, without status epilepticus",0,1,0,1,0,0,"COUNTED"
"G40.89","Seizure Atypical Absence (HCC)",0,3,0,1,0,0,"COUNTED"
"G40.901","Epilepsy Seizure Not Intractable With Status Epilepticus (HCC)",4,0,1,0,0,0,"COUNTED"
