"estimand","hr","lo","hi","interpretation","estimate"
"Cause-specific HR, seizure (PRIMARY)",2.74,1.93,3.88,"Rate of seizure among those still alive and seizure-free -- aetiological question","2.74 (1.93 to 3.88)"
"Cause-specific HR, death (competing event)",0.23,0.11,0.48,"Whether IIH also changes mortality; if ~1, the two seizure estimands should agree closely","0.23 (0.11 to 0.48)"
"Subdistribution HR, seizure (Fine-Gray)",2.75,1.94,3.89,"Effect on the cumulative INCIDENCE of seizure with death held in the risk set -- prognostic question","2.75 (1.94 to 3.89)"
