"time_y","beta","lo","hi","hr","hr_lo","hr_hi"
0.501026694045175,2.07617701653393,1.35854103240444,2.79381300066342,7.973926380981,3.89051302669807,16.3432178463283
0.509240246406571,2.06299204897056,1.34535606484107,2.78062803310005,7.86948049122712,3.83955342721622,16.129147406266
0.511978097193703,2.05859715258829,1.34096116845879,2.77623313671778,7.83497082862797,3.82271601419355,16.0584170148986
0.514715947980835,2.0542023285103,1.33656634438081,2.77183831263979,7.80061306364656,3.80595271267283,15.98799795019
0.544832306639288,2.00586768723562,1.28823170310613,2.72350367136511,7.4325402199343,3.62636838685665,15.2336023888697
0.553045859000684,1.99268935278348,1.27505336865399,2.71032533691297,7.33523429235969,3.57889240567542,15.034165888442
0.558521560574949,1.98390437382436,1.26626838969487,2.70154035795386,7.2710766378814,3.54758960971463,14.902669499643
0.572210814510609,1.96194157955632,1.24430559542683,2.67957756368581,7.11312436339169,3.47052401465665,14.5789333240162
0.583162217659138,1.94436822622259,1.2267322420931,2.66200421035208,6.98921485723671,3.41006803289872,14.3249706015672
0.58590006844627,1.93997394122849,1.222337957099,2.65760992535798,6.95856963649843,3.39511609770495,14.2621607015826
0.596851471594798,1.92239077645303,1.20475479232354,2.64002676058252,6.83728536538882,3.33594097943311,14.0135786142428
0.613278576317591,1.89598917445441,1.17835319032492,2.6136251585839,6.65913219129145,3.24901927844693,13.6484390336677
0.616016427104723,1.89158475723562,1.17394877310613,2.60922074136511,6.62986708997318,3.23474070946266,13.5884578019272
0.618754277891855,1.88717899230167,1.16954300817218,2.60481497643116,6.60072170503338,3.22052055061508,13.5287219387492
0.621492128678987,1.88277184924784,1.16513586511835,2.60040783337733,6.57169538876615,3.20635848588571,13.469230116607
0.626967830253251,1.87395340745239,1.1563174233229,2.59158939158188,6.51399804969795,3.17820770563948,13.3509746754991
0.632443531827515,1.86512963444951,1.14749365032002,2.582765618579,6.4567728519345,3.15028728516944,13.2336869268214
0.668035592060233,1.80764431941006,1.09000833528057,2.52528030353955,6.09607011065591,2.97429886407526,12.4943969965125
