"cohort","time_y","cif_pct","se_pct","lo_pct","hi_pct"
"Non-IIH control",1,0.304,0.056,0.212,0.438
"Non-IIH control",2,0.658,0.086,0.51,0.849
"Non-IIH control",3,0.821,0.099,0.649,1.04
"IIH",1,1.046,0.197,0.724,1.512
"IIH",2,1.768,0.259,1.327,2.355
"IIH",3,2.252,0.299,1.735,2.922
