"analysis","iih","comparator","HR","p"
"Primary, as reported (all matched comparators retained)","66/2138","63/5743","2.28 (1.62 to 3.22)",2.62e-06
"Complete sets only (comparators whose case was dropped removed)","66/2138","61/4954","2.06 (1.46 to 2.92)",4.23e-05
