"bmi","hr","lo","hi"
24.5,4.37782359937236,2.15398012008556,8.89763990322264
26.6260504201681,4.23453547659095,2.28674575679984,7.84140110424914
28.9647058823529,4.08232940398882,2.42197254178489,6.88092580537268
31.3033613445378,3.93559422392378,2.52911030338058,6.12424925661752
33.6420168067227,3.79413329072567,2.58072850534624,5.57805573037658
35.9806722689076,3.65775702695298,2.5451279544159,5.25678343401576
38.1067226890756,3.5380370048722,2.4267793422255,5.15815576226456
40.4453781512605,3.41086586173039,2.2251290108679,5.22846354970673
42.7840336134454,3.28826575603837,1.98886344336454,5.43661844578071
45.1226890756302,3.17007238650221,1.7497448391498,5.74332823324503
47.4613445378151,3.05612735747097,1.52464183006964,6.12597282907807
49.8,2.94627796666434,1.32056376402979,6.57336971776543
