"quantity","days_lost_over_3y","lo","hi","estimate"
"Non-IIH control",8.24,6.62,10.11,"8.24 (6.62 to 10.11)"
"IIH",19.12,14.27,24.34,"19.12 (14.27 to 24.34)"
"Difference (IIH - control)",10.88,6.2,16.09,"10.88 (6.20 to 16.09)"
