"analysis","iih","comparator","iih_rate","ctl_rate","HR","p","ph_p","cif3_iih","cif3_ctl","risk_diff_pp","NNH"
"PRIMARY: any seizure code or indefinite ASM","66/2138","63/5743","14.46 (11.19 to 18.40)","6.72 (5.16 to 8.60)","2.28 (1.62 to 3.22)",2.62e-06,0.944,3.83,1.71,2.12,47
"Codes only, medication channel removed","56/2138","63/5743","12.21 (9.23 to 15.86)","6.72 (5.16 to 8.60)","1.93 (1.34 to 2.77)",0.000408,0.976,3.28,1.71,1.57,64
"Epilepsy-specific codes only (G40/345)","26/2138","24/5743","5.62 (3.67 to 8.24)","2.55 (1.63 to 3.79)","2.30 (1.35 to 3.92)",0.00221,0.775,1.53,0.68,0.85,118
"Restricted to opening pressure >= 25 cmH2O","36/1122","34/2986","15.25 (10.68 to 21.11)","7.16 (4.96 to 10.00)","2.25 (1.41 to 3.59)",0.000712,0.919,4.11,1.83,2.28,44
