"category","iih_pct","control_pct","ratio","source_iih","source_control","assessment"
"Never",74.2,65.9,0.9,"workbook chart abstraction","social-history flowsheet","compatible"
"Former",1.5,15.9,10.6,"workbook chart abstraction","social-history flowsheet","IMPLAUSIBLE as biology -- this is a measurement difference, not a real one"
"Current",0.7,8,11.4,"workbook chart abstraction","social-history flowsheet","IMPLAUSIBLE as biology -- this is a measurement difference, not a real one"
