"time_y","hr","lo","hi"
0.0082135523613963,7.54262461225495,3.6933825416643,15.4035455032389
0.0793976728268309,6.91590390239495,3.38649741250972,14.1236566756197
0.128678986995209,6.51258645217582,3.18900572944655,13.3000019113872
0.197125256673511,5.98941546788697,2.93282559600358,12.2315822992838
0.336755646817248,5.04983201000825,2.4727415644945,10.3127652705256
0.49555099247091,4.18874520301909,2.05109483762121,8.55425407640547
0.678986995208761,3.45159234572836,1.69013461043027,7.04884075361177
0.85968514715948,2.95388494066655,1.44642317903732,6.03242285463368
0.952772073921971,2.76569721113983,1.35427365410138,5.64810593526768
1.14715947980835,2.49073854385958,1.21963517033511,5.08658543535047
1.28405201916496,2.3799173911896,1.1653695888486,4.86026651380425
1.52772073921971,2.34194546500141,1.14677594850901,4.78272025862737
1.97672826830938,2.6172404002148,1.28157909194979,5.34492748480708
2.27241615331964,2.83959731309672,1.39046017542863,5.79902469918674
2.99520876112252,3.00411050156815,1.47101703320817,6.13499347859348
