"horizon_y","events_iih","events_ctl","py_iih","py_ctl","deaths","max_parameters"
1,28,29,2676,9496,31,2
2,46,59,5101,17841,77,4
3,56,70,7127,24209,110,5
5,76,80,10253,32603,143,7
Inf,102,83,15952,41460,195,8
